Time,Precipitation_Intensity,Humidity,Solar_Radiation,Temperature,Wind_Speed,NO,NO2,CO,O3,SO2
2021-01-01 0:00:00,0,43.28,1.73,10.53,0.21,6.42,10.35,6.68,35.87,7.63
2021-01-01 0:30:00,0,42.9,1.94,10.33,0.09,6.46,9.75,6.68,36.41,7.59
2021-01-01 1:00:00,0,42.16,2.03,10.31,0.43,6.11,9.84,6.69,36.66,7.71
2021-01-01 1:30:00,0,43.36,2.01,10.08,0.27,6.47,21.93,6.68,35.15,7.62
2021-01-01 2:00:00,0,42.98,1.8,9.92,0.24,6.37,12.02,6.68,35.26,7.46
2021-01-01 2:30:00,0,44.05,1.92,9.67,0.31,6.35,10.68,6.69,33.93,7.52
2021-01-01 3:00:00,0,44.61,1.53,9.46,0.27,6.39,10.35,6.68,34.59,7.74
2021-01-01 3:30:00,0,44.16,1.92,9.27,0.16,6.09,10.03,6.65,29.86,7.55
2021-01-01 4:00:00,0,42.07,1.71,9.3,0.09,6.26,9.62,6.66,35.72,7.79
2021-01-01 4:30:00,0,41.98,1.4,9.24,0.18,5.91,9.71,6.67,35.78,8.84
2021-01-01 5:00:00,0,45.84,1.51,8.85,0.32,6.33,9.5,6.65,35.27,7.62
2021-01-01 5:30:00,0,46.93,2.01,8.79,0.31,6.38,9.9,6.69,33.73,7.75
2021-01-01 6:00:00,0,47.53,1.28,8.7,0.27,6.41,10.44,6.68,32.25,7.56
2021-01-01 6:30:00,0,47.52,2.73,8.79,0.38,6.35,11.15,6.69,31.56,7.57
2021-01-01 7:00:00,0,47.96,14.98,8.85,0.43,6.74,12.08,6.72,28.41,7.6
2021-01-01 7:30:00,0,46.93,32.97,9.04,0.61,7.18,12.61,6.7,30.54,7.72
2021-01-01 8:00:00,0,45.08,175.57,9.53,0.93,7.41,11.95,6.72,31.3,7.82
2021-01-01 8:30:00,0,41.07,327.03,10.07,2.07,7.47,11.39,6.68,34.19,7.86
2021-01-01 9:00:00,0,39.05,422.38,11.11,0.88,7.9,11.85,6.67,34.12,7.69
2021-01-01 9:30:00,0,38.56,503.01,11.95,0.61,8.14,12.32,6.68,32.92,7.68
2021-01-01 10:00:00,0,38.59,570.23,12.84,0.63,9.24,13.23,6.71,31.66,7.73
2021-01-01 10:30:00,0,38.61,623.03,13.23,0.57,9.04,13.23,6.71,33.51,7.79
2021-01-01 11:00:00,0,38.92,659.71,13.75,0.96,8.84,13.02,6.71,34.97,7.74
2021-01-01 11:30:00,0,39.09,681.03,14.24,0.66,8.6,12.79,6.71,36.06,7.82
