,FILM,RottenTomatoes
0,Avengers: Age of Ultron (2015),74
1,Cinderella (2015),85
2,Ant-Man (2015),80
3,Do You Believe? (2015),18
4,Hot Tub Time Machine 2 (2015),14
5,The Water Diviner (2015),63
6,Irrational Man (2015),42
7,Top Five (2014),86
8,Shaun the Sheep Movie (2015),99
9,Love & Mercy (2015),89
10,Far From The Madding Crowd (2015),84
11,Black Sea (2015),82
12,Leviathan (2014),99
13,Unbroken (2014),51
14,The Imitation Game (2014),90
15,Taken 3 (2015),9
16,Ted 2 (2015),46
17,Southpaw (2015),59
18,Night at the Museum: Secret of the Tomb (2014),50
19,Pixels (2015),17
20,"McFarland, USA (2015)",79
21,Insidious: Chapter 3 (2015),59
22,The Man From U.N.C.L.E. (2015),68
23,Run All Night (2015),60
24,Trainwreck (2015),85
25,Selma (2014),99
26,Ex Machina (2015),92
27,Still Alice (2015),88
28,Wild Tales (2014),96
29,The End of the Tour (2015),92
30,Red Army (2015),96
31,When Marnie Was There (2015),89
32,The Hunting Ground (2015),92
33,The Boy Next Door (2015),10
34,Aloha (2015),19
35,The Loft (2015),11
36,5 Flights Up (2015),52
37,Welcome to Me (2015),71
38,Saint Laurent (2015),51
39,Maps to the Stars (2015),60
40,I'll See You In My Dreams (2015),94
41,Timbuktu (2015),99
42,About Elly (2015),97
43,The Diary of a Teenage Girl (2015),95
44,Kingsman: The Secret Service (2015),75
45,Tomorrowland (2015),50
46,The Divergent Series: Insurgent (2015),30
47,Annie (2014),27
48,Fantastic Four (2015),9
49,Terminator Genisys (2015),26
50,Pitch Perfect 2 (2015),67
51,Entourage (2015),32
52,The Age of Adaline (2015),54
53,Hot Pursuit (2015),8
54,The DUFF (2015),71
55,Black or White (2015),39
56,Project Almanac (2015),34
57,Ricki and the Flash (2015),64
58,Seventh Son (2015),12
59,Mortdecai (2015),12
60,Unfinished Business (2015),11
61,American Ultra (2015),46
62,True Story (2015),45
63,Child 44 (2015),26
64,Dark Places (2015),26
65,Birdman (2014),92
66,The Gift (2015),93
67,Unfriended (2015),60
68,Monkey Kingdom (2015),94
69,Mr. Turner (2014),98
70,Seymour: An Introduction (2015),100
71,The Wrecking Crew (2015),93
72,American Sniper (2015),72
73,Furious 7 (2015),81
74,The Hobbit: The Battle of the Five Armies (2014),61
75,San Andreas (2015),50
76,Straight Outta Compton (2015),90
77,Vacation (2015),27
78,Chappie (2015),30
79,Poltergeist (2015),31
80,Paper Towns (2015),55
81,Big Eyes (2014),72
82,Blackhat (2015),34
83,Self/less (2015),20
84,Sinister 2 (2015),13
85,Little Boy (2015),20
86,Me and Earl and The Dying Girl (2015),81
87,Maggie (2015),54
88,Mad Max: Fury Road (2015),97
89,Spy (2015),93
90,The SpongeBob Movie: Sponge Out of Water (2015),78
91,Paddington (2015),98
92,Dope (2015),87
93,What We Do in the Shadows (2015),96
94,The Overnight (2015),82
95,The Salt of the Earth (2015),96
96,Song of the Sea (2014),99
97,Fifty Shades of Grey (2015),25
98,Get Hard (2015),29
99,Focus (2015),57
100,Jupiter Ascending (2015),26
101,The Gallows (2015),16
102,The Second Best Exotic Marigold Hotel (2015),62
103,Strange Magic (2015),17
104,The Gunman (2015),17
105,Hitman: Agent 47 (2015),7
106,Cake (2015),49
107,The Vatican Tapes (2015),13
108,A Little Chaos (2015),40
109,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67
110,Escobar: Paradise Lost (2015),52
111,Into the Woods (2014),71
112,It Follows (2015),96
113,Inherent Vice (2014),73
114,A Most Violent Year (2014),90
115,While We're Young (2015),83
116,Clouds of Sils Maria (2015),89
117,Testament of Youth (2015),81
118,Infinitely Polar Bear (2015),80
119,Phoenix (2015),99
120,The Wolfpack (2015),84
121,The Stanford Prison Experiment (2015),84
122,Tangerine (2015),95
123,Magic Mike XXL (2015),62
124,Home (2015),45
125,The Wedding Ringer (2015),27
126,Woman in Gold (2015),52
127,The Last Five Years (2015),60
128,Mission: Impossible â€“ Rogue Nation (2015),92
129,Amy (2015),97
130,Jurassic World (2015),71
131,Minions (2015),54
132,Max (2015),35
133,Paul Blart: Mall Cop 2 (2015),5
134,The Longest Ride (2015),31
135,The Lazarus Effect (2015),14
136,The Woman In Black 2 Angel of Death (2015),22
137,Danny Collins (2015),77
138,Spare Parts (2015),52
139,Serena (2015),18
140,Inside Out (2015),98
141,Mr. Holmes (2015),87
142,'71 (2015),97
143,"Two Days, One Night (2014)",97
144,Gett: The Trial of Viviane Amsalem (2015),100
145,"Kumiko, The Treasure Hunter (2015)",87
